GEO_ID,NAME,P1_001N
1000000US361090006002008,"Block 2008, Block Group 2, Census Tract 6, Tompkins County, New York",46
1000000US361090006002009,"Block 2009, Block Group 2, Census Tract 6, Tompkins County, New York",43
1000000US361090006002010,"Block 2010, Block Group 2, Census Tract 6, Tompkins County, New York",5
1000000US361090006002011,"Block 2011, Block Group 2, Census Tract 6, Tompkins County, New York",37
1000000US361090006002012,"Block 2012, Block Group 2, Census Tract 6, Tompkins County, New York",20
1000000US361090006002013,"Block 2013, Block Group 2, Census Tract 6, Tompkins County, New York",30
1000000US361090006002014,"Block 2014, Block Group 2, Census Tract 6, Tompkins County, New York",21
1000000US361090006002015,"Block 2015, Block Group 2, Census Tract 6, Tompkins County, New York",43
1000000US361090006002016,"Block 2016, Block Group 2, Census Tract 6, Tompkins County, New York",20
1000000US361090006002017,"Block 2017, Block Group 2, Census Tract 6, Tompkins County, New York",45
1000000US361090006002018,"Block 2018, Block Group 2, Census Tract 6, Tompkins County, New York",18
1000000US361090006002019,"Block 2019, Block Group 2, Census Tract 6, Tompkins County, New York",8
1000000US361090006002020,"Block 2020, Block Group 2, Census Tract 6, Tompkins County, New York",45
1000000US361090006002021,"Block 2021, Block Group 2, Census Tract 6, Tompkins County, New York",192
1000000US361090006002022,"Block 2022, Block Group 2, Census Tract 6, Tompkins County, New York",80
1000000US361090006002023,"Block 2023, Block Group 2, Census Tract 6, Tompkins County, New York",30
1000000US361090006002024,"Block 2024, Block Group 2, Census Tract 6, Tompkins County, New York",135
1000000US361090006002025,"Block 2025, Block Group 2, Census Tract 6, Tompkins County, New York",38
1000000US361090006002026,"Block 2026, Block Group 2, Census Tract 6, Tompkins County, New York",34
1000000US361090006002027,"Block 2027, Block Group 2, Census Tract 6, Tompkins County, New York",131
1000000US361090006002028,"Block 2028, Block Group 2, Census Tract 6, Tompkins County, New York",127
1000000US361090006002029,"Block 2029, Block Group 2, Census Tract 6, Tompkins County, New York",16
1000000US361090006002030,"Block 2030, Block Group 2, Census Tract 6, Tompkins County, New York",0
1000000US361090006002031,"Block 2031, Block Group 2, Census Tract 6, Tompkins County, New York",0
