placeId,cid,title,categoryName,temporarilyClosed,reviewsCount,permanentlyClosed,url,totalScore,location/lat,location/lng
ChIJyTUEE2yB0IkR6oQs4zpJ7z0,4462866273015727338,Strawberry Fields,City park,False,0,False,"https://www.google.com/maps/place/Strawberry+Fields/@42.4365731,-76.4752869,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0816c130435c9:0x3def493ae32c84ea!8m2!3d42.4365731!4d-76.4752869!16s%2Fg%2F11sj8zsm7h?hl=en&entry=ttu",,42.4365731,-76.4752869
ChIJMcB1kJZ62okRpfDz2cOEp20,7901430047954956453,Time Square,Park,False,64,False,"https://www.google.com/maps/place/Time+Square/@42.4907071,-76.2979782,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a969075c031:0x6da784c3d9f3f0a5!8m2!3d42.4907071!4d-76.2979782!16s%2Fg%2F1tld1513?hl=en&entry=ttu",4.3,42.4907071,-76.2979782
ChIJEeoHh4mI2okRS7OD6YRPuf8,18426846782635094859,Speedsville Community Park,Park,False,26,False,"https://www.google.com/maps/place/Speedsville+Community+Park/@42.3041444,-76.2538862,17z/data=!3m1!4b1!4m6!3m5!1s0x89da88898707ea11:0xffb94f84e983b34b!8m2!3d42.3041444!4d-76.2538862!16s%2Fg%2F11h0rn_tk?hl=en&entry=ttu",4.4,42.3041444,-76.2538862
ChIJYTrRBsV52okRuMbkioWhBys,3100624463400847032,Park Park Natural Area,Nature preserve,False,0,False,"https://www.google.com/maps/place/Park+Park+Natural+Area/@42.4537103,-76.4476471,17z/data=!3m1!4b1!4m6!3m5!1s0x89da79c506d13a61:0x2b07a1858ae4c6b8!8m2!3d42.4537103!4d-76.4476471!16s%2Fg%2F11k99_3hb3?hl=en&entry=ttu",,42.4537103,-76.4476471
ChIJ84Wco0eB0IkRbVfJ0j9GA_w,18159435362421266285,Troy Park,Park,False,0,False,"https://www.google.com/maps/place/Troy+Park/@42.4070623,-76.4806386,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08147a39c85f3:0xfc03463fd2c9576d!8m2!3d42.4070623!4d-76.4806386!16s%2Fg%2F11sthkyhrk?hl=en&entry=ttu",,42.4070623,-76.4806386
ChIJ-zWMktKD0IkRVG4kOdWApc4,14890449396245491284,Ithaca Park Reservations,Park,False,0,False,"https://www.google.com/maps/place/Ithaca+Park+Reservations/@42.4633246,-76.5001491,17z/data=!3m1!4b1!4m6!3m5!1s0x89d083d2928c35fb:0xcea580d539246e54!8m2!3d42.4633246!4d-76.5001491!16s%2Fg%2F1vljh9m8?hl=en&entry=ttu",,42.4633246,-76.5001491
ChIJqxPG83uD0IkRFsclwZB_9X4,9148358477765527318,Ithaca Dog Park,Dog park,False,94,False,"https://www.google.com/maps/place/Ithaca+Dog+Park/@42.4563715,-76.5157378,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0837bf3c613ab:0x7ef57f90c125c716!8m2!3d42.4563715!4d-76.5157378!16s%2Fm%2F03d7w3n?hl=en&entry=ttu",4.7,42.4563715,-76.5157378
ChIJL-J1ilOB0IkRtADagNXYTnw,8957335120387899572,Maple Grove Park,City park,False,0,False,"https://www.google.com/maps/place/Maple+Grove+Park/@42.440361,-76.4790363,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081538a75e22f:0x7c4ed8d580da00b4!8m2!3d42.440361!4d-76.4790363!16s%2Fg%2F11s326jlmp?hl=en&entry=ttu",,42.440361,-76.4790363
ChIJi5h7iQKD0IkRCyjH9Tp29vU,17723483379166816267,Ned Hickey Park,Park,False,0,False,"https://www.google.com/maps/place/Ned+Hickey+Park/@42.4916483,-76.4808062,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08302897b988b:0xf5f6763af5c7280b!8m2!3d42.4916483!4d-76.4808062!16s%2Fg%2F11sttgl8k_?hl=en&entry=ttu",,42.4916483,-76.4808062
ChIJrWPn_ByB0IkRH7CLU9xiTo0,10182184505965260831,Northview Park,City park,False,3,False,"https://www.google.com/maps/place/Northview+Park/@42.4191549,-76.4839059,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811cfce763ad:0x8d4e62dc538bb01f!8m2!3d42.4191549!4d-76.4839059!16s%2Fg%2F11mk31tqt6?hl=en&entry=ttu",4.7,42.4191549,-76.4839059
ChIJF6tcjCR_2okRrFImT82tXDY,3917196873213301420,Hungerford Heights Park,City park,False,4,False,"https://www.google.com/maps/place/Hungerford+Heights+Park/@42.4254812,-76.4491015,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7f248c5cab17:0x365cadcd4f2652ac!8m2!3d42.4254812!4d-76.4491015!16s%2Fg%2F11h41j5hyj?hl=en&entry=ttu",4.3,42.4254812,-76.4491015
ChIJw0bo_Cp72okRcejMUWE_ZrQ,12999147061668276337,Dryden Lake Multiple Use Area,Park,False,84,False,"https://www.google.com/maps/place/Dryden+Lake+Multiple+Use+Area/@42.4626248,-76.274633,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7b2afce846c3:0xb4663f6151cce871!8m2!3d42.4626248!4d-76.274633!16s%2Fg%2F11df3z6cgz?hl=en&entry=ttu",4.5,42.4626248,-76.274633
ChIJf58mvN2P0IkR1EJ1MtTNmTY,3934402060748145364,Service Building,Park,False,0,False,"https://www.google.com/maps/place/Service+Building/@42.5422939,-76.6660589,14z/data=!3m1!4b1!4m6!3m5!1s0x89d08fddbc269f7f:0x3699cdd4327542d4!8m2!3d42.5422939!4d-76.6660589!16s%2Fg%2F1v1kqvfh?hl=en&entry=ttu",,42.5422939,-76.6660589
ChIJAWxECNaa0IkRGfZeORKJIVE,5846104502668555801,Kayak rental and playground,Park,False,15,False,"https://www.google.com/maps/place/Kayak+rental+and+playground/@42.545249,-76.5958948,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09ad608446c01:0x51218912395ef619!8m2!3d42.545249!4d-76.5958948!16s%2Fg%2F11bw47cxhp?hl=en&entry=ttu",4.8,42.545249,-76.5958948
ChIJH-0KN6d90IkREFck6z3ny6I,11730723907540637456,Mill Park,City park,False,11,False,"https://www.google.com/maps/place/Mill+Park/@42.3609134,-76.5934244,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07da7370aed1f:0xa2cbe73deb245710!8m2!3d42.3609134!4d-76.5934244!16s%2Fg%2F11gbk25_ls?hl=en&entry=ttu",4.5,42.3609134,-76.5934244
ChIJrfHPfsSF0IkReb5Dcs7hMl4,6787735865197313657,Taughanook Flls,Park,False,0,False,"https://www.google.com/maps/place/Taughanook+Flls/@42.5386781,-76.6079658,17z/data=!3m1!4b1!4m6!3m5!1s0x89d085c47ecff1ad:0x5e32e1ce7243be79!8m2!3d42.5386781!4d-76.6079658!16s%2Fg%2F11l5vjrwsv?hl=en&entry=ttu",,42.5386781,-76.6079658
ChIJ2YhK79ec0IkRSYIKlNA3Wmw,7807614272976618057,Lansing Parks & Recreation,Park,False,46,False,"https://www.google.com/maps/place/Lansing+Parks+%26+Recreation/@42.5373167,-76.5029172,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09cd7ef4a88d9:0x6c5a37d0940a8249!8m2!3d42.5373167!4d-76.5029172!16s%2Fg%2F1wc48ysx?hl=en&entry=ttu",4.9,42.5373167,-76.5029172
ChIJz99lkZ142okR39XEvEjIdxU,1546925211755271647,Salem Park,City park,False,8,False,"https://www.google.com/maps/place/Salem+Park/@42.472062,-76.4553377,17z/data=!3m1!4b1!4m6!3m5!1s0x89da789d9165dfcf:0x1577c848bcc4d5df!8m2!3d42.472062!4d-76.4553377!16s%2Fg%2F11cn31vf48?hl=en&entry=ttu",4.4,42.472062,-76.4553377
ChIJ6w5zy02b0IkR294u40zlbGY,7380526007745175259,Taughannock Point,Park,False,4,False,"https://www.google.com/maps/place/Taughannock+Point/@42.5465325,-76.5976366,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09b4dcb730eeb:0x666ce54ce32ededb!8m2!3d42.5465325!4d-76.5976366!16s%2Fg%2F11t2t0xgjv?hl=en&entry=ttu",4.5,42.5465325,-76.5976366
ChIJ-SzkO2SC0IkRmiwhp2SuCW0,7857002772248472730,Philip R. Dankert Village Park,Park,False,14,False,"https://www.google.com/maps/place/Philip+R.+Dankert+Village+Park/@42.480677,-76.472609,17z/data=!3m1!4b1!4m6!3m5!1s0x89d082643be42cf9:0x6d09ae64a7212c9a!8m2!3d42.480677!4d-76.472609!16s%2Fg%2F1tgptlpp?hl=en&entry=ttu",4.6,42.480677,-76.472609
ChIJIRS0pyhu2okRLBxf6S_aNRg,1744540329989577772,McLean Bogs,Park,False,0,False,"https://www.google.com/maps/place/McLean+Bogs/@42.5487093,-76.2661234,17z/data=!3m1!4b1!4m6!3m5!1s0x89da6e28a7b41421:0x1835da2fe95f1c2c!8m2!3d42.5487093!4d-76.2661234!16s%2Fm%2F0522kvj?hl=en&entry=ttu",,42.5487093,-76.2661234
ChIJYXqV15p52okRy70MNqrVPiw,3188220513252851147,Etna Community Park,Park,False,29,False,"https://www.google.com/maps/place/Etna+Community+Park/@42.4827504,-76.3759401,17z/data=!3m1!4b1!4m6!3m5!1s0x89da799ad7957a61:0x2c3ed5aa360cbdcb!8m2!3d42.4827504!4d-76.3759401!16s%2Fg%2F11bv30jzjz?hl=en&entry=ttu",4.1,42.4827504,-76.3759401
ChIJSy-HB4R32okRijBG_N7ow5w,11296128334788178058,Sykes Park,Park,False,17,False,"https://www.google.com/maps/place/Sykes+Park/@42.585552,-76.371175,17z/data=!3m1!4b1!4m6!3m5!1s0x89da778407872f4b:0x9cc3e8defc46308a!8m2!3d42.585552!4d-76.371175!16s%2Fg%2F11rxv52bsb?hl=en&entry=ttu",4.5,42.585552,-76.371175
ChIJFQSkiIl52okRmSk55R7BVsE,13931534835756116377,Etna Community Park & Playground,Park,False,11,False,"https://www.google.com/maps/place/Etna+Community+Park+%26+Playground/@42.4880204,-76.386661,17z/data=!3m1!4b1!4m6!3m5!1s0x89da798988a40415:0xc156c11ee5392999!8m2!3d42.4880204!4d-76.386661!16s%2Fg%2F11gmsqs_40?hl=en&entry=ttu",4.4,42.4880204,-76.386661
ChIJdYQa7FZx2okRcw2SSaGry2o,7695433097505017203,Station Park,Park,False,1,False,"https://www.google.com/maps/place/Station+Park/@42.5130388,-76.3450953,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7156ec1a8475:0x6acbaba149920d73!8m2!3d42.5130388!4d-76.3450953!16s%2Fg%2F11n_zklk43?hl=en&entry=ttu",5.0,42.5130388,-76.3450953
ChIJG8hre3OH0IkRpzhrWnHxRm4,7946304061692393639,"Robert H. Treman State Park, Upper Entrance",State park,False,295,False,"https://www.google.com/maps/place/Robert+H.+Treman+State+Park,+Upper+Entrance/@42.4024923,-76.5888755,17z/data=!3m1!4b1!4m6!3m5!1s0x89d087737b6bc81b:0x6e46f1715a6b38a7!8m2!3d42.4024923!4d-76.5888755!16s%2Fg%2F11gbx9gphx?hl=en&entry=ttu",4.9,42.4024923,-76.5888755
